Grupo,Título,ID,NID Drupal,Link,Tipo,Status,País,Fecha Anuncio,Fecha Cierre,Valor USD,Publicado,Tiene Excerpt,Patrón Detectado
7,"Accel-KKR adquiere filiales de DBNet en Colombia, Chile y Perú",drupal-117717,117717,https://lexlatin.com/node/117717,Financiamientos,Cerrado,"Estados Unidos",2023-11-15,2023-11-15,27500000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
8,"Accel-KKR adquiere Lemontech, proveedora líder de software para abogados en Latinoamérica",drupal-64198,64198,https://lexlatin.com/node/64198,M&A,Cerrado,"Chile",2019-06-26,2019-06-26,,SÍ,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
8,"Accel-KKR adquiere Lemontech, proveedora líder de software para abogados en Latinoamérica",drupal-69400,69400,https://lexlatin.com/node/69400,M&A,Cerrado,"Chile",2019-06-26,,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
8,"Accel-KKR adquiere Lemontech, proveedora líder de software para abogados en Latinoamérica",drupal-69401,69401,https://lexlatin.com/node/69401,Financiamientos,Cerrado,"Chile",2019-06-26,2019-06-26,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
9,"Accionistas de GGI lanzan OPA por acciones de Rassini en México",drupal-56334,56334,https://lexlatin.com/node/56334,Emisiones,Cerrado,"Estados Unidos",2018-12-03,2018-12-03,666000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
9,"Accionistas de GGI lanzan OPA por acciones de Rassini en México",drupal-70253,70253,https://lexlatin.com/node/70253,Emisiones,Cerrado,"México",2018-12-03,2018-12-03,666000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
9,"Accionistas de GGI lanzan OPA por acciones de Rassini en México",drupal-70254,70254,https://lexlatin.com/node/70254,Financiamientos,Cerrado,"Estados Unidos",2018-12-03,,485000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
10,"Actis compra la totalidad del productor de energía mexicano MT Falcon ",drupal-105852,105852,https://lexlatin.com/node/105852,M&A,Cerrado,"México",2022-11-09,2022-11-09,,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
10,"Actis compra la totalidad del productor de energía mexicano MT Falcon ",drupal-107075,107075,https://lexlatin.com/node/107075,M&A,Cerrado,"México",2022-11-09,2022-11-09,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
10,"Actis compra la totalidad del productor de energía mexicano MT Falcon ",drupal-107076,107076,https://lexlatin.com/node/107076,Financiamientos,Cerrado,"México",2022-11-09,2022-11-09,258000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
11,"Actis obtiene financiamiento multifuente",drupal-116116,116116,https://lexlatin.com/node/116116,Emisiones,Cerrado,"Chile",2023-07-26,2023-07-26,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
11,"Actis obtiene financiamiento multifuente",drupal-116118,116118,https://lexlatin.com/node/116118,Emisiones,Cerrado,"Chile",2023-07-26,2023-07-26,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
11,"Actis obtiene financiamiento multifuente",drupal-116165,116165,https://lexlatin.com/node/116165,Financiamientos,Cerrado,"Chile",2023-07-26,2023-07-26,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
12,"Actualización: Alicorp adquiere fabricante de productos de higiene Intradevco",drupal-58845,58845,https://lexlatin.com/node/58845,M&A,Cerrado,"Uruguay",2019-01-31,,490500000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
12,"Actualización: Alicorp adquiere fabricante de productos de higiene Intradevco",drupal-69790,69790,https://lexlatin.com/node/69790,M&A,Cerrado,"Uruguay",2019-01-31,,490500000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
12,"Actualización: Alicorp adquiere fabricante de productos de higiene Intradevco",drupal-69791,69791,https://lexlatin.com/node/69791,Financiamientos,Cerrado,"Uruguay",2019-01-24,,500000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
13,"Actualización: Allianz Global Investors compra notas emitidas por parques eólicos peruanos ",drupal-56780,56780,https://lexlatin.com/node/56780,Emisiones,Cerrado,"Estados Unidos",,,250000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
13,"Actualización: Allianz Global Investors compra notas emitidas por parques eólicos peruanos ",drupal-70374,70374,https://lexlatin.com/node/70374,Emisiones,Cerrado,"Estados Unidos",,,250000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
13,"Actualización: Allianz Global Investors compra notas emitidas por parques eólicos peruanos ",drupal-70375,70375,https://lexlatin.com/node/70375,Financiamientos,Cerrado,"Estados Unidos",,,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
14,"Actualización: AlphaCredit busca consolidarse como plataforma de tecnología financiera en México",drupal-71257,71257,https://lexlatin.com/node/71257,Emisiones,Cerrado,"Estados Unidos",2020-01-26,2020-02-04,400000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
14,"Actualización: AlphaCredit busca consolidarse como plataforma de tecnología financiera en México",drupal-72038,72038,https://lexlatin.com/node/72038,Emisiones,Cerrado,"Estados Unidos",2020-02-04,2020-02-04,400000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
14,"Actualización: AlphaCredit busca consolidarse como plataforma de tecnología financiera en México",drupal-72039,72039,https://lexlatin.com/node/72039,Financiamientos,Cerrado,"Estados Unidos",2020-01-26,,125000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
15,"Actualización: Alsacia vende terminales de buses para pagar deudas",drupal-75653,75653,https://lexlatin.com/node/75653,Emisiones,Cerrado,"Estados Unidos",2020-06-12,2020-06-12,110000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
15,"Actualización: Alsacia vende terminales de buses para pagar deudas",drupal-76137,76137,https://lexlatin.com/node/76137,M&A,Cerrado,"Estados Unidos",2020-06-12,2020-06-12,110000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
15,"Actualización: Alsacia vende terminales de buses para pagar deudas",drupal-76139,76139,https://lexlatin.com/node/76139,Emisiones,Cerrado,"Estados Unidos",2020-06-12,2020-06-12,370000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
16,"Actualización: AquaChile obtiene crédito para comprar Salmones Magallanes y Pesquera Edén",drupal-47885,47885,https://lexlatin.com/node/47885,M&A,Cerrado,"Chile",2018-06-01,,240000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
16,"Actualización: AquaChile obtiene crédito para comprar Salmones Magallanes y Pesquera Edén",drupal-69621,69621,https://lexlatin.com/node/69621,Financiamientos,Cerrado,"Chile",2018-06-01,,240000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
16,"Actualización: AquaChile obtiene crédito para comprar Salmones Magallanes y Pesquera Edén",drupal-69622,69622,https://lexlatin.com/node/69622,M&A,Cerrado,"Chile",2018-06-01,,225000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
17,"Actualización: Brasileña Sendas espera autorización para lanzar OPA sobre Almacenes Éxito en Colombia",drupal-66742,66742,https://lexlatin.com/node/66742,M&A,En progreso,"Colombia",2019-09-13,,1922710000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
17,"Actualización: Brasileña Sendas espera autorización para lanzar OPA sobre Almacenes Éxito en Colombia",drupal-70608,70608,https://lexlatin.com/node/70608,M&A,En progreso,"Colombia",2019-09-13,,1922710000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
17,"Actualización: Brasileña Sendas espera autorización para lanzar OPA sobre Almacenes Éxito en Colombia",drupal-70609,70609,https://lexlatin.com/node/70609,Emisiones,En progreso,"Colombia",2019-09-13,,2300000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
18,"Actualización: Concesionaria de línea de transmisión en Perú logra estructura dual de refinanciamiento",drupal-50121,50121,https://lexlatin.com/node/50121,Emisiones,Cerrado,"Estados Unidos",2018-09-06,2018-09-06,75300000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
18,"Actualización: Concesionaria de línea de transmisión en Perú logra estructura dual de refinanciamiento",drupal-69656,69656,https://lexlatin.com/node/69656,Financiamientos,Cerrado,"Estados Unidos",2018-09-06,,75300000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
18,"Actualización: Concesionaria de línea de transmisión en Perú logra estructura dual de refinanciamiento",drupal-69657,69657,https://lexlatin.com/node/69657,Emisiones,Cerrado,"Estados Unidos",2018-09-06,2018-09-06,99508000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
19,"Actualización: Emergent LatAm ingresa al mercado chileno tras comprar Friopacífico",drupal-91852,91852,https://lexlatin.com/node/91852,M&A,Cerrado,"Estados Unidos",2021-11-23,2021-11-23,,SÍ,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
19,"Actualización: Emergent LatAm ingresa al mercado chileno tras comprar Friopacífico",drupal-93112,93112,https://lexlatin.com/node/93112,M&A,Cerrado,"Estados Unidos",2021-11-23,2021-11-23,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
19,"Actualización: Emergent LatAm ingresa al mercado chileno tras comprar Friopacífico",drupal-93113,93113,https://lexlatin.com/node/93113,Financiamientos,Cerrado,"Estados Unidos",2021-11-23,2021-11-23,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
20,"Actualización: En diciembre se realizó última subasta de distribuidoras de Eletrobras",drupal-58433,58433,https://lexlatin.com/node/58433,M&A,Cerrado,"Brasil",2018-12-28,,1343730000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
20,"Actualización: En diciembre se realizó última subasta de distribuidoras de Eletrobras",drupal-69418,69418,https://lexlatin.com/node/69418,M&A,Cerrado,"Brasil",2018-12-28,,144598000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
20,"Actualización: En diciembre se realizó última subasta de distribuidoras de Eletrobras",drupal-69419,69419,https://lexlatin.com/node/69419,M&A,Cerrado,"Brasil",2018-10-27,,190761000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
20,"Actualización: En diciembre se realizó última subasta de distribuidoras de Eletrobras",drupal-69420,69420,https://lexlatin.com/node/69420,M&A,Cerrado,"Brasil",2018-08-30,,67242700.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
20,"Actualización: En diciembre se realizó última subasta de distribuidoras de Eletrobras",drupal-69421,69421,https://lexlatin.com/node/69421,M&A,Cerrado,"Brasil",2018-08-30,,63268500.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
20,"Actualización: En diciembre se realizó última subasta de distribuidoras de Eletrobras",drupal-69422,69422,https://lexlatin.com/node/69422,M&A,Cerrado,"Brasil",2018-12-10,,712963000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
21,"Actualización: Enel Chile vende Arcadia Generación Solar S.A., su negocio de energía fotovoltaica, a Sonnedix",drupal-112827,112827,https://lexlatin.com/node/112827,M&A,Cerrado,"Chile",2023-07-12,2023-10-25,556000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
21,"Actualización: Enel Chile vende Arcadia Generación Solar S.A., su negocio de energía fotovoltaica, a Sonnedix",drupal-116836,116836,https://lexlatin.com/node/116836,M&A,Cerrado,"Chile",2023-07-12,2023-10-25,556000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
21,"Actualización: Enel Chile vende Arcadia Generación Solar S.A., su negocio de energía fotovoltaica, a Sonnedix",drupal-116837,116837,https://lexlatin.com/node/116837,Financiamientos,Cerrado,"Chile",2023-07-12,2023-10-25,624000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
22,"Actualización: JBS financia adquisición de Vivera con emisión internacional ",drupal-86708,86708,https://lexlatin.com/node/86708,Emisiones,Cerrado,"Estados Unidos",2021-06-30,2021-06-30,500000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
22,"Actualización: JBS financia adquisición de Vivera con emisión internacional ",drupal-86853,86853,https://lexlatin.com/node/86853,Emisiones,Cerrado,"Estados Unidos",2021-05-28,2021-05-28,500000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
22,"Actualización: JBS financia adquisición de Vivera con emisión internacional ",drupal-86856,86856,https://lexlatin.com/node/86856,Emisiones,Cerrado,"Estados Unidos",2021-06-30,2021-06-30,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
23,"Actualización: Pan American Silver vende participación en tres proyectos mineros",drupal-113236,113236,https://lexlatin.com/node/113236,M&A,Cerrado,"Estados Unidos",2023-07-31,2023-07-31,475000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
23,"Actualización: Pan American Silver vende participación en tres proyectos mineros",drupal-113867,113867,https://lexlatin.com/node/113867,M&A,Cerrado,"Estados Unidos",2023-07-31,2023-07-31,475000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
23,"Actualización: Pan American Silver vende participación en tres proyectos mineros",drupal-113868,113868,https://lexlatin.com/node/113868,M&A,Cerrado,"Estados Unidos",2023-07-31,2023-07-31,25000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
23,"Actualización: Pan American Silver vende participación en tres proyectos mineros",drupal-113869,113869,https://lexlatin.com/node/113869,M&A,Cerrado,"Estados Unidos",2023-07-31,2023-07-31,45550000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
24,"Actualización: Para cerrar fusión con Praxair, Linde vende activos a Messer CVC Capital",drupal-56125,56125,https://lexlatin.com/node/56125,M&A,Cerrado,"Estados Unidos",,,3300000000.00,SÍ,SÍ,DUPLICADO PROBABLE (mismos datos)
24,"Actualización: Para cerrar fusión con Praxair, Linde vende activos a Messer CVC Capital",drupal-72163,72163,https://lexlatin.com/node/72163,M&A,Cerrado,"Estados Unidos",,,3300000000.00,NO,SÍ,DUPLICADO PROBABLE (mismos datos)
25,"Actualización: Regulus y Stillwater Canada pactan JV en proyecto minero argentino",drupal-42224,42224,https://lexlatin.com/node/42224,Emisiones,Cerrado,"Estados Unidos",,,,SÍ,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
25,"Actualización: Regulus y Stillwater Canada pactan JV en proyecto minero argentino",drupal-70298,70298,https://lexlatin.com/node/70298,M&A,Cerrado,"Estados Unidos",,,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
25,"Actualización: Regulus y Stillwater Canada pactan JV en proyecto minero argentino",drupal-70299,70299,https://lexlatin.com/node/70299,Emisiones,Cerrado,"Estados Unidos",,,,NO,SÍ,CLON PROBABLE (mismo dato + nid consecutivo)
26,"Actualización: Softbank invierte 150 millones de dólares en Grupo Bursátil Mexicano",drupal-85383,85383,https://lexlatin.com/node/85383,M&A,Cerrado,"Estados Unidos",2021-06-03,2021-06-03,150000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
26,"Actualización: Softbank invierte 150 millones de dólares en Grupo Bursátil Mexicano",drupal-85488,85488,https://lexlatin.com/node/85488,M&A,Cerrado,"Estados Unidos",2021-06-03,2021-06-03,150000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
26,"Actualización: Softbank invierte 150 millones de dólares en Grupo Bursátil Mexicano",drupal-85490,85490,https://lexlatin.com/node/85490,M&A,Cerrado,"Estados Unidos",2021-05-26,2021-05-26,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
27,"Actualización: SPV asociado al Corredor Vial Bioceánico oferta bonos para financiar proyecto en Paraguay",drupal-62241,62241,https://lexlatin.com/node/62241,Emisiones,Cerrado,"Paraguay",2019-05-09,,732000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
27,"Actualización: SPV asociado al Corredor Vial Bioceánico oferta bonos para financiar proyecto en Paraguay",drupal-69730,69730,https://lexlatin.com/node/69730,Emisiones,Cerrado,"Paraguay",2019-05-09,,732000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
27,"Actualización: SPV asociado al Corredor Vial Bioceánico oferta bonos para financiar proyecto en Paraguay",drupal-69732,69732,https://lexlatin.com/node/69732,Financiamientos,Cerrado,"Paraguay",2019-05-10,,42000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
28,"ADM adquiere Yerbalatina",drupal-71084,71084,https://lexlatin.com/node/71084,M&A,Cerrado,"Brasil",2019-12-11,,,NO,SÍ,VERSIÓN DIFERENTE (datos distintos)
28,"ADM adquiere Yerbalatina",drupal-71085,71085,https://lexlatin.com/node/71085,M&A,Cerrado,,2019-12-11,,,NO,SÍ,VERSIÓN DIFERENTE (datos distintos)
29,"Advent paga 2.700 millones de dólares por el negocio de análisis y datos de Nielsen",drupal-79974,79974,https://lexlatin.com/node/79974,M&A,En progreso,"Estados Unidos",2020-11-01,2020-11-01,2700000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
29,"Advent paga 2.700 millones de dólares por el negocio de análisis y datos de Nielsen",drupal-80124,80124,https://lexlatin.com/node/80124,Financiamientos,En progreso,"Estados Unidos",2020-11-01,2020-11-01,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
29,"Advent paga 2.700 millones de dólares por el negocio de análisis y datos de Nielsen",drupal-80314,80314,https://lexlatin.com/node/80314,M&A,En progreso,"Estados Unidos",2020-11-01,2020-11-01,2700000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
30,"Aeropuertos Argentina 2000 realiza nuevo canje de deuda y refinancia préstamos",drupal-91190,91190,https://lexlatin.com/node/91190,Emisiones,Cerrado,"Estados Unidos",2021-11-01,2021-11-01,126000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
30,"Aeropuertos Argentina 2000 realiza nuevo canje de deuda y refinancia préstamos",drupal-99871,99871,https://lexlatin.com/node/99871,Emisiones,Cerrado,"Estados Unidos",2021-11-01,2021-11-01,126000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
30,"Aeropuertos Argentina 2000 realiza nuevo canje de deuda y refinancia préstamos",drupal-99875,99875,https://lexlatin.com/node/99875,Emisiones,Cerrado,"Estados Unidos",2021-10-28,2021-10-28,208900000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
30,"Aeropuertos Argentina 2000 realiza nuevo canje de deuda y refinancia préstamos",drupal-99876,99876,https://lexlatin.com/node/99876,Financiamientos,Cerrado,"Estados Unidos",2021-11-01,2021-11-01,120000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
31,"Aerotech y Grupo Palo Alto crean JV para fabricar piezas aeronáuticas en México",drupal-55115,55115,https://lexlatin.com/node/55115,M&A,Cerrado,"Estados Unidos",,,267000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
31,"Aerotech y Grupo Palo Alto crean JV para fabricar piezas aeronáuticas en México",drupal-71327,71327,https://lexlatin.com/node/71327,M&A,Cerrado,"Estados Unidos",2017-04-19,,267000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
31,"Aerotech y Grupo Palo Alto crean JV para fabricar piezas aeronáuticas en México",drupal-71329,71329,https://lexlatin.com/node/71329,Financiamientos,Cerrado,"Estados Unidos",,,,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
32,"AES coloca sus primeros bonos verdes en Argentina",drupal-71635,71635,https://lexlatin.com/node/71635,Emisiones,Cerrado,"Argentina",2020-02-12,2020-02-18,48300000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
32,"AES coloca sus primeros bonos verdes en Argentina",drupal-71887,71887,https://lexlatin.com/node/71887,Emisiones,Cerrado,"Argentina",2020-02-18,2020-02-18,48300000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
32,"AES coloca sus primeros bonos verdes en Argentina",drupal-71888,71888,https://lexlatin.com/node/71888,Financiamientos,Cerrado,"Argentina",2020-02-12,,20000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
33,"AES Corporation incrementa participación en AES Andes luego de OPA",drupal-94738,94738,https://lexlatin.com/node/94738,Emisiones,Cerrado,"Estados Unidos",2022-01-24,2022-01-24,425000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
33,"AES Corporation incrementa participación en AES Andes luego de OPA",drupal-95834,95834,https://lexlatin.com/node/95834,M&A,Cerrado,"Estados Unidos",2022-01-24,2022-01-24,517000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
33,"AES Corporation incrementa participación en AES Andes luego de OPA",drupal-95836,95836,https://lexlatin.com/node/95836,Emisiones,Cerrado,"Estados Unidos",2022-01-24,2022-01-24,360000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
33,"AES Corporation incrementa participación en AES Andes luego de OPA",drupal-95841,95841,https://lexlatin.com/node/95841,Financiamientos,Cerrado,"Estados Unidos",2022-01-24,2022-01-24,425000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
34,"AES Panamá emite 1.380 millones de dólares en bonos para proyectos de energía renovable",drupal-77218,77218,https://lexlatin.com/node/77218,Emisiones,Cerrado,"Estados Unidos",2020-08-14,2020-08-14,1380000000.00,SÍ,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
34,"AES Panamá emite 1.380 millones de dólares en bonos para proyectos de energía renovable",drupal-77305,77305,https://lexlatin.com/node/77305,Emisiones,Cerrado,"Estados Unidos",2020-08-14,2020-08-14,1380000000.00,NO,SÍ,VERSIÓN PUB/NO-PUB (publicado + no publicado)
